abstract_text,authors,authors_orgn,download,journal,key,keywords,page,refer_key,title,url,year
二门油田经过近２０年的注水开发，目前已进入高含水后期开采，由于该油田储层矿物及胶结物组分成熟度低，不稳定矿物和易溶解胶结物含量高，因此注入水的长期冲刷对储层物性及其它渗流特征参数影响较大，主要表现在：开发后期储层类型增多；孔隙和喉道的分布及组合配置关系更加多样化；大孔（喉）道与小孔（喉）道出现的频率和变化幅度在微观上表现出极大的差异性；相对渗透率参数变化范围加大且曲线类型更加复杂；油层润湿性、驱油效率及剩余油分布特征也发生相应的变化，使得储层非均质性更为严重，开采难度加大，常规“控水稳油””措施受阻。成果采用对比井分析、室内岩心物模实验、测井解释、动态分析、电子探针、敏感性评价等技术对注水开发后期储层特征进行详细探讨，其研究思路、方法和技术可在中国东部砂砾岩油藏储层评价中推广使用。 ,赵跃华|赵新军|翁大丽|台怀忠,河南石油勘探局勘探开发研究院,360,石油学报,de87de98-8411-11e8-bb49-408d5c0cc128,注水开发|后期|储层|非均质性|剩余油分布,183k,c91f0fac-8411-11e8-ba7c-408d5c0cc128,注水开发后期下二门油田储层特征,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:QDHY.0.2012-Z1-018,1999
"通过对东濮凹陷文79块沙二下亚段测井资料分析,综合岩心、地震资料,并引入最大熵谱分析技术,将东濮凹陷文79块沙二下亚段划分为2个长期基准面旋回LSC1-LSC2、6个中期基准面旋回MSC1-MSC6,以及58个短期基准面旋回。应用旋回等时对比技术,选取中期旋回作为对比骨架,建立东濮凹陷文79地区沙二下亚段层序地层格架。同时,对层序格架内沉积相进行分析,确定研究区为分支河体系的曲流河扇沉积,归纳层序格架内砂体发育与展布的特点。结果显示:LSC1为基准面下降半旋回,自下往上A/S(Accommodation/Sediments)比值减小,可容纳空间逐渐减小,河道/漫岸比值增加,砂体连通性变好;LSC2为基准面上升半旋回,自下往上A/S比值增加,可容纳空间逐渐增大,河道/漫岸比值减小,砂体连通性变差。 ",薛欢欢|张金亮|李景哲|孙中强|于涛|王广群,山东科技大学地球科学与工程学院|北京师范大学资源学院,119,中国科技论文,e1669b2c-8411-11e8-8317-408d5c0cc128,东濮凹陷|文79区块|沙河街组|层序地层格架|沉积相分布,5,,东濮凹陷文79块沙二下亚段高分辨率层序地层结构模型研究,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:ZKZX.0.2015-15-004,2015
"针对目前地层划分、对比存在人为性、多解性等问题,首先仔细分析了野外露头与岩心的沉积序列特点,研究了地层的叠置序列与旋回结构;进而建立了相应的地质模型,通过地质模型把地层的旋回结构转化成数值模拟信号;最后根据信号特征,提出了综合预测误差滤波分析方法,并研究出该方法的原理、步骤、功能。在此基础上,利用该方法对模拟信号进行处理分析,提取出反映地层叠置及旋回结构的频谱趋势线,并搞清频率趋势线的地质意义乃间接反映了当时的沉积环境及基准面变化过程。由此,可以找出反映同一等时地层界面的拐点及变化趋势,根据拐点及变化趋势完成了地层的等时对比。这为地层精确划分及真正意义上的等时对比奠定了基础。通过对实际测井数据的处理,验证了该方法的有效性。 ",刘洛夫|徐敬领|高鹏|邹长春|王远征|徐新宇,中国石油大学 油气资源与探测国家重点实验室|中国石油大学地球科学学院|中国地质大学 地下信息探测技术与仪器教育部重点实验室|中国地质大学地球物理与信息技术院|中国石油大庆油田有限责任公司第二采油厂地质大队|中国石油冀东油田公司陆上油田作业区工艺研究所|中国石油海外勘探开发分公司,224,石油与天然气地质,e4f8d8b6-8411-11e8-865a-408d5c0cc128,测井数据|滤波分析|等时对比|地层划分,9,e1669b2c-8411-11e8-8317-408d5c0cc128,综合预测误差滤波分析方法在地层划分及等时对比中的应用,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:ZKZX.0.2015-15-004,2013
"通过对研究区300多口钻井的地层对比和3 000多米岩心的详细观察及区域构造-沉积演化分析,综合运用构造、古生物、岩性、地质年代以及测井和地震反射等6个方面的特征,将东濮凹陷古近系划分为3个超长期层序,分别对应于沙河街组四段下亚段、沙河街组四段上亚段—沙河街组三段、沙河街组二段—东营组;并将沙河街组四段上亚段—沙河街组一段划分为4个长期层序,分别对应于沙河街组四段上亚段—沙河街组三段四亚段、沙河街组三段三亚段、沙河街组三段二亚段—沙河街组三段一亚段、沙河街组二段—沙河街组一段。提出同一套连续沉积的盐岩在长期及超长期层序划分中具不可分割性,并结合东濮凹陷及渤海湾盆地层序划分的实例,指出目前普遍存在的层序地层划分方案与岩石地层划分方案相一致的现象值得商榷。 ",高红灿|郑荣才|陈发亮|韩福民|刘云,"中国石化中原油田博士后科研工作站|中国石化中原油田分公司物探研究院|成都理工大学""油气藏地质及开发工程""国家重点实验室",1045,石油与天然气地质,e6e2bb52-8411-11e8-a284-408d5c0cc128,层序地层|沙河街组|古近系|东濮凹陷|渤海湾盆地,12,e1669b2c-8411-11e8-8317-408d5c0cc128,渤海湾盆地东濮凹陷古近系沙河街组层序地层,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:ZKZX.0.2015-15-004,2011
"运用基准面旋回原理,通过岩心、录井、测井和地震资料的综合分析,在东濮凹陷文南油田文138井沙二段下亚段中识别出3种基本结构类型和7个亚类型的短期基准面旋回层序。其中,向上""变深""的非对称型主要发育在距物源区较近或物源供给较充分的三角洲前缘中的分流水道、河道间湾沉积区;向上""变浅""的非对称型发育在距物源供给区相对较远但供给量逐渐增多的三角洲前缘中的河口坝、远砂坝沉积区;向上""变深""复""变浅""的对称型往往发育于沉积速率始终小于可容纳空间增长率的三角州前缘区。研究结果表明,文138井沙二段下亚段发育中期基准面旋回(4级)14个,短期旋回(5级)40个,超短期旋回(6级)92个;单个中期基准面旋回的厚度一般为18~32m,单个超短期旋回的厚度平均为4m。 ",黄捍东|彭勇民|罗群,中国石油大学(北京)CNPC物探重点实验室|中国石油大学(北京)CNPC物探重点实验室 北京102200,184,油气地质与采收率,e8bfdef8-8411-11e8-be1d-408d5c0cc128,超短期旋回|高分辨率层序地层|沙二段下亚段|东濮凹陷,6,e1669b2c-8411-11e8-8317-408d5c0cc128,东濮凹陷文南油田文138断块沙二段下亚段层序地层,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:ZKZX.0.2015-15-004,2007
高分辨率的等时地层对比的关键是识别地层记录中代表多级次的基准面破回的多级次的地层旋回。每一级次的地层旋回内必然存在着能反映相应级次基准面旋回所经历时间的痕迹，其沉积和地层特征主要为：（１）单一相物理性质的垂向变化；（２）相序和相组合变化；（３）旋回叠加样式的改变；（４）地层几何形态与接触关系。这些特征均反映可容纳空间和沉积物补给通量比值（Ａ／Ｓ）的变化。露头剖面、钻井剖面具有较高的分辩率，是高级次旋回识别的基础，可识别短期基准面旋回；测井曲线基准面旋回的确定，是在建立测井响应模型的基础上根据短期旋回的叠加样式识别中期基准面旋回；地震剖面由于受分辨率的限制只能识别中长期基准面旋回。基准面旋回的转换点，可作为高分辨率等时地层对比的优选位置，即基准面旋回的二分时间单元的划分界线。时间－空间图解是对地层剖面进行时间－空间反演的最有效方法，有助于检验层序对比的可靠性。几个具体应用实例说明，基准面旋回识别和旋回等时地层对比技术虽源于海相地层，但在非海相地层中，其原理和方法仍然适用。 ,邓宏文|王洪亮|李熙喆,中国地质大学|北京石油勘探开发科学研究院,3220,石油与天然气地质,ea4ba9b4-8411-11e8-9e46-408d5c0cc128,层序地层|基准面旋回|识别|对比技术|等时对比|应用,429k,e1669b2c-8411-11e8-8317-408d5c0cc128,层序地层地层基准面的识别、对比技术及应用,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:ZKZX.0.2015-15-004,1996
以科罗拉多Ｔ．Ａ．Ｃｒｏｓｓ成因地层研究组为代表的高分辨率层序地层学问世后，立即得到学术及实业界有识人士的高度重视，实际应用效果显著，这标志着层序地层学的新发展。高分辨率层序地层学着眼于沉积矿产，特别是油气勘探中具体目标的精确预测。以地层过程一响应沉积动力学为理论基础，具体有四，即：地层基准面原理、体积划分原理、相分异原理与旋回等时对比法则。油气勘探开发实践证明，该方法对相分布、储层三维预测、流体流动数值模拟物理模式的建立有着重要意义。 ,邓宏文,中国地质大学,3559,石油与天然气地质,ebdbb322-8411-11e8-8663-408d5c0cc128,高分辨率|层序地层学|基准面|体积划分|相分异|等时对比,474k,e1669b2c-8411-11e8-8317-408d5c0cc128,美国层序地层研究中的新学派──高分辨率层序地层学,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:ZKZX.0.2015-15-004,1995
"针对目前地层划分、对比存在人为性、多解性等问题,首先仔细分析了野外露头与岩心的沉积序列特点,研究了地层的叠置序列与旋回结构;进而建立了相应的地质模型,通过地质模型把地层的旋回结构转化成数值模拟信号;最后根据信号特征,提出了综合预测误差滤波分析方法,并研究出该方法的原理、步骤、功能。在此基础上,利用该方法对模拟信号进行处理分析,提取出反映地层叠置及旋回结构的频谱趋势线,并搞清频率趋势线的地质意义乃间接反映了当时的沉积环境及基准面变化过程。由此,可以找出反映同一等时地层界面的拐点及变化趋势,根据拐点及变化趋势完成了地层的等时对比。这为地层精确划分及真正意义上的等时对比奠定了基础。通过对实际测井数据的处理,验证了该方法的有效性。 ",刘洛夫|徐敬领|高鹏|邹长春|王远征|徐新宇,中国石油大学 油气资源与探测国家重点实验室|中国石油大学地球科学学院|中国地质大学 地下信息探测技术与仪器教育部重点实验室|中国地质大学地球物理与信息技术院|中国石油大庆油田有限责任公司第二采油厂地质大队|中国石油冀东油田公司陆上油田作业区工艺研究所|中国石油海外勘探开发分公司,224,石油与天然气地质,f2afa534-8411-11e8-ad0f-408d5c0cc128,测井数据|滤波分析|等时对比|地层划分,9,e1669b2c-8411-11e8-8317-408d5c0cc128,综合预测误差滤波分析方法在地层划分及等时对比中的应用,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:ZKZX.0.2015-15-004,2013
"通过对研究区300多口钻井的地层对比和3 000多米岩心的详细观察及区域构造-沉积演化分析,综合运用构造、古生物、岩性、地质年代以及测井和地震反射等6个方面的特征,将东濮凹陷古近系划分为3个超长期层序,分别对应于沙河街组四段下亚段、沙河街组四段上亚段—沙河街组三段、沙河街组二段—东营组;并将沙河街组四段上亚段—沙河街组一段划分为4个长期层序,分别对应于沙河街组四段上亚段—沙河街组三段四亚段、沙河街组三段三亚段、沙河街组三段二亚段—沙河街组三段一亚段、沙河街组二段—沙河街组一段。提出同一套连续沉积的盐岩在长期及超长期层序划分中具不可分割性,并结合东濮凹陷及渤海湾盆地层序划分的实例,指出目前普遍存在的层序地层划分方案与岩石地层划分方案相一致的现象值得商榷。 ",高红灿|郑荣才|陈发亮|韩福民|刘云,"中国石化中原油田博士后科研工作站|中国石化中原油田分公司物探研究院|成都理工大学""油气藏地质及开发工程""国家重点实验室",1045,石油与天然气地质,f4715024-8411-11e8-a131-408d5c0cc128,层序地层|沙河街组|古近系|东濮凹陷|渤海湾盆地,12,e1669b2c-8411-11e8-8317-408d5c0cc128,渤海湾盆地东濮凹陷古近系沙河街组层序地层,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:ZKZX.0.2015-15-004,2011
"运用基准面旋回原理,通过岩心、录井、测井和地震资料的综合分析,在东濮凹陷文南油田文138井沙二段下亚段中识别出3种基本结构类型和7个亚类型的短期基准面旋回层序。其中,向上""变深""的非对称型主要发育在距物源区较近或物源供给较充分的三角洲前缘中的分流水道、河道间湾沉积区;向上""变浅""的非对称型发育在距物源供给区相对较远但供给量逐渐增多的三角洲前缘中的河口坝、远砂坝沉积区;向上""变深""复""变浅""的对称型往往发育于沉积速率始终小于可容纳空间增长率的三角州前缘区。研究结果表明,文138井沙二段下亚段发育中期基准面旋回(4级)14个,短期旋回(5级)40个,超短期旋回(6级)92个;单个中期基准面旋回的厚度一般为18~32m,单个超短期旋回的厚度平均为4m。 ",黄捍东|彭勇民|罗群,中国石油大学(北京)CNPC物探重点实验室|中国石油大学(北京)CNPC物探重点实验室 北京102200,184,油气地质与采收率,f6382d74-8411-11e8-b94f-408d5c0cc128,超短期旋回|高分辨率层序地层|沙二段下亚段|东濮凹陷,6,e1669b2c-8411-11e8-8317-408d5c0cc128,东濮凹陷文南油田文138断块沙二段下亚段层序地层,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:ZKZX.0.2015-15-004,2007
高分辨率的等时地层对比的关键是识别地层记录中代表多级次的基准面破回的多级次的地层旋回。每一级次的地层旋回内必然存在着能反映相应级次基准面旋回所经历时间的痕迹，其沉积和地层特征主要为：（１）单一相物理性质的垂向变化；（２）相序和相组合变化；（３）旋回叠加样式的改变；（４）地层几何形态与接触关系。这些特征均反映可容纳空间和沉积物补给通量比值（Ａ／Ｓ）的变化。露头剖面、钻井剖面具有较高的分辩率，是高级次旋回识别的基础，可识别短期基准面旋回；测井曲线基准面旋回的确定，是在建立测井响应模型的基础上根据短期旋回的叠加样式识别中期基准面旋回；地震剖面由于受分辨率的限制只能识别中长期基准面旋回。基准面旋回的转换点，可作为高分辨率等时地层对比的优选位置，即基准面旋回的二分时间单元的划分界线。时间－空间图解是对地层剖面进行时间－空间反演的最有效方法，有助于检验层序对比的可靠性。几个具体应用实例说明，基准面旋回识别和旋回等时地层对比技术虽源于海相地层，但在非海相地层中，其原理和方法仍然适用。 ,邓宏文|王洪亮|李熙喆,中国地质大学|北京石油勘探开发科学研究院,3220,石油与天然气地质,f7c9ba80-8411-11e8-a505-408d5c0cc128,层序地层|基准面旋回|识别|对比技术|等时对比|应用,429k,e1669b2c-8411-11e8-8317-408d5c0cc128,层序地层地层基准面的识别、对比技术及应用,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:ZKZX.0.2015-15-004,1996
以科罗拉多Ｔ．Ａ．Ｃｒｏｓｓ成因地层研究组为代表的高分辨率层序地层学问世后，立即得到学术及实业界有识人士的高度重视，实际应用效果显著，这标志着层序地层学的新发展。高分辨率层序地层学着眼于沉积矿产，特别是油气勘探中具体目标的精确预测。以地层过程一响应沉积动力学为理论基础，具体有四，即：地层基准面原理、体积划分原理、相分异原理与旋回等时对比法则。油气勘探开发实践证明，该方法对相分布、储层三维预测、流体流动数值模拟物理模式的建立有着重要意义。 ,邓宏文,中国地质大学,3559,石油与天然气地质,f95e243a-8411-11e8-97eb-408d5c0cc128,高分辨率|层序地层学|基准面|体积划分|相分异|等时对比,474k,e1669b2c-8411-11e8-8317-408d5c0cc128,美国层序地层研究中的新学派──高分辨率层序地层学,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:ZKZX.0.2015-15-004,1995
"研究粒度可以明确搬运介质的性质和能量,确定沉积物的搬运方式,为沉积相划分提供依据。在岩心观察描述和沉积相分析的基础上,利用取心井粒度分析资料对东濮凹陷文留地区文79断块沙二下亚段砂岩的粒度概率累积曲线进行研究。结果表明,该研究区主要沉积环境粒度概率累积曲线特征为:分流河道微相有典型的两段式或三段式和""高斜一跳一悬夹过渡式""的组合特征;近河道漫溢微相有两段式和""两跳一悬夹过渡式""以及""一跳一悬夹过渡式"";远河道漫溢微相有简单一段式和""低斜多段式""及""细粒高悬加过渡式""。 ",于涛|张金亮|张鹏辉|范忠礼|孙中强|薛欢欢|王梦琪,山东科技大学地球科学与工程学院|北京师范大学资源学院,135,中国科技论文,fc6df3b6-8411-11e8-a585-408d5c0cc128,地质学|文79块|沙二下亚段|沉积相|沉积环境|碎屑岩|粒度概率累积曲线|东濮凹陷,5,,东濮凹陷文79断块沙二下亚段沉积环境粒度概率累积曲线特征,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:ZKZX.0.2015-21-012,2015
"目前对文南油田文79断块沙二下亚段油藏的沉积微相研究还存在一些争议,重新认识研究区沉积微相,对后期开展精细油藏描述,指导剩余油的挖潜,具有重要的现实意义。对研究区岩石学特征、沉积构造特征、粒度特征、测井资料等进行综合分析和沉积微相建模,认为文79断块沙二下亚段发育一套干旱、半干旱环境下的分支河沉积体系,识别出河道充填沉积、近漫溢、远漫溢和河漫湖泊等沉积微相类型。 ",孙中强|张金亮|范忠礼|刘龙龙|薛欢欢|于涛,山东科技大学地球科学与工程学院|北京师范大学资源学院,114,中国科技论文,ff7a263e-8411-11e8-8347-408d5c0cc128,地质学|沉积微相|文79断块|沙二下亚段|分支河|微相划分|沉积微相建模,7,fc6df3b6-8411-11e8-a585-408d5c0cc128,东濮凹陷文南油田文79块沙二下亚段沉积微相研究,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:ZKZX.0.2015-21-012,2015
